0,23.2,358.0,06-14-2021,18:12:06,B8:27:EB:48:B5:21
0,24.7,357.0,06-14-2021,21:12:07,B8:27:EB:48:B5:21
0,24.5,349.0,06-15-2021,00:12:04,B8:27:EB:48:B5:21
0,24.5,345.0,06-15-2021,03:12:06,B8:27:EB:48:B5:21
0,23.9,347.0,06-15-2021,06:12:05,B8:27:EB:48:B5:21
0,24.9,346.0,06-15-2021,09:12:07,B8:27:EB:48:B5:21
0,26.7,347.0,06-15-2021,12:12:04,B8:27:EB:48:B5:21
0,28.9,345.0,06-15-2021,15:12:04,B8:27:EB:48:B5:21
0,29.1,348.0,06-15-2021,18:12:03,B8:27:EB:48:B5:21
0,28.5,346.0,06-15-2021,21:12:04,B8:27:EB:48:B5:21
0,27.8,346.0,06-16-2021,00:12:03,B8:27:EB:48:B5:21
0,26.5,346.0,06-16-2021,03:12:04,B8:27:EB:48:B5:21
0,25.3,346.0,06-16-2021,06:12:05,B8:27:EB:48:B5:21
0,25.5,349.0,06-16-2021,09:12:04,B8:27:EB:48:B5:21
0,25.5,348.0,06-16-2021,12:12:04,B8:27:EB:48:B5:21
0,27.2,347.0,06-16-2021,15:12:04,B8:27:EB:48:B5:21
0,27.9,374.0,06-17-2021,21:21:09,B8:27:EB:F8:1A:C0
0,27.5,371.0,06-17-2021,21:27:17,B8:27:EB:F8:1A:C0
