Time,Date ,MAC,Temperature/C,Moisture/''
9:35:12,8/25/2021,B8:27:EB:7E:B4:0C,39.36,285
9:40:04,8/25/2021,B8:27:EB:36:C6:86,39.65,285
9:50:04,8/25/2021,B8:27:EB:55:04:6A,39.94,284
10:00:04,8/25/2021,B8:27:EB:36:C6:86,40.23,283
10:00:05,8/25/2021,B8:27:EB:7E:B4:0C,40.52,283
10:00:07,8/25/2021,B8:27:EB:55:04:6A,40.81,282
10:00:08,8/25/2021,B8:27:EB:69:74:52,41.10,281
10:30:06,8/25/2021,B8:27:EB:69:74:52,41.38,281
10:32:07,8/25/2021,B8:27:EB:55:04:6A,41.67,280
10:35:04,8/25/2021,B8:27:EB:7E:B4:0C,41.96,279
11:00:04,8/25/2021,B8:27:EB:69:74:52,42.25,279
11:00:05,8/25/2021,B8:27:EB:36:C6:86,42.54,278
11:30:03,8/25/2021,B8:27:EB:69:74:52,42.83,277
11:32:04,8/25/2021,B8:27:EB:55:04:6A,43.12,277
11:35:04,8/25/2021,B8:27:EB:7E:B4:0C,43.40,276
11:40:03,8/25/2021,B8:27:EB:36:C6:86,43.69,276
12:00:03,8/25/2021,B8:27:EB:36:C6:86,43.98,275
12:00:04,8/25/2021,B8:27:EB:69:74:52,44.27,274
12:00:06,8/25/2021,B8:27:EB:55:04:6A,44.56,274
12:30:03,8/25/2021,B8:27:EB:69:74:52,44.85,273
12:32:04,8/25/2021,B8:27:EB:55:04:6A,45.14,272
12:35:04,8/25/2021,B8:27:EB:7E:B4:0C,45.42,272
12:40:04,8/25/2021,B8:27:EB:36:C6:86,45.71,271
13:00:03,8/25/2021,B8:27:EB:69:74:52,46.00,270
13:00:04,8/25/2021,B8:27:EB:36:C6:86,46.29,270
13:00:05,8/25/2021,B8:27:EB:7E:B4:0C,46.58,269
13:00:06,8/25/2021,B8:27:EB:55:04:6A,46.87,268
13:30:04,8/25/2021,B8:27:EB:69:74:52,47.16,268
13:32:03,8/25/2021,B8:27:EB:55:04:6A,47.44,267
13:35:04,8/25/2021,B8:27:EB:7E:B4:0C,47.73,266
13:40:03,8/25/2021,B8:27:EB:36:C6:86,48.02,266
14:00:03,8/25/2021,B8:27:EB:55:04:6A,48.31,265
14:00:04,8/25/2021,B8:27:EB:36:C6:86,48.60,264
14:00:07,8/25/2021,B8:27:EB:7E:B4:0C,48.89,264
14:30:03,8/25/2021,B8:27:EB:69:74:52,48.11,263
14:32:05,8/25/2021,B8:27:EB:55:04:6A,48.11,262
14:35:05,8/25/2021,B8:27:EB:7E:B4:0C,48.87,259
14:40:04,8/25/2021,B8:27:EB:36:C6:86,47.99,190
15:00:04,8/25/2021,B8:27:EB:36:C6:86,32.59,766
15:00:05,8/25/2021,B8:27:EB:7E:B4:0C,31.95,784
15:30:03,8/25/2021,B8:27:EB:69:74:52,30.39,794
15:32:05,8/25/2021,B8:27:EB:55:04:6A,29.00,763
15:35:09,8/25/2021,B8:27:EB:7E:B4:0C,31.99,786
15:40:04,8/25/2021,B8:27:EB:36:C6:86,32.10,801
16:00:04,8/25/2021,B8:27:EB:7E:B4:0C,30.96,811
16:00:04,8/25/2021,B8:27:EB:36:C6:86,30.86,701
16:00:05,8/25/2021,B8:27:EB:69:74:52,30.75,722
16:00:06,8/25/2021,B8:27:EB:55:04:6A,30.65,771
16:30:03,8/25/2021,B8:27:EB:69:74:52,30.54,708
16:32:05,8/25/2021,B8:27:EB:55:04:6A,30.43,706
16:35:04,8/25/2021,B8:27:EB:7E:B4:0C,30.33,772
16:40:05,8/25/2021,B8:27:EB:36:C6:86,30.22,721
17:00:03,8/25/2021,B8:27:EB:69:74:52,30.11,715
17:00:09,8/25/2021,B8:27:EB:55:04:6A,30.01,708
17:30:02,8/25/2021,B8:27:EB:69:74:52,29.90,702
17:32:04,8/25/2021,B8:27:EB:55:04:6A,29.80,696
